email,event,source
info@gims.swiss,Salon International de l'Automobile de Genève 2026,confirmé
info@inventions-geneva.ch,Salon International des Inventions de Genève 2026,confirmé
info@genevelux.ch,Geneva Lux - Festival des Lumières 2026,confirmé
info@genevemarathon.org,Marathon de Genève 2026,confirmé
info@boldormirabaud.ch,Bol d'Or Mirabaud 2026,confirmé
info@fetesdegeneve.ch,Fêtes de Genève 2026,confirmé
info@ville-geneve.ch,Musiques en Été 2026,confirmé
info@escalade.ch,Course de l'Escalade 2026,confirmé
info@fetedelamusique.ch,Fête de la Musique Genève 2026,confirmé
info@nuitdesmusees.ch,Nuit des Musées Genève 2026,confirmé
info@triathlondegeneve.ch,Triathlon de Genève 2026,confirmé
info@salondulivre.ch,Salon du Livre de Genève 2026,confirmé
info@carougealrue.ch,Carouge à la Rue 2026,confirmé
info@bfrancoise.ch,Festival de la Bâtie 2026,confirmé
info@antigel.ch,Antigel Festival 2026,confirmé
info@watchesandwonders.com,Watches and Wonders Geneva 2026,confirmé
info@giff.ch,GIFF - Geneva International Film Festival 2026,confirmé
opendays@cern.ch,CERN Open Days 2026,confirmé
info@lakeparade.ch,Lake Parade Genève 2026,confirmé
info@genevaclassics.ch,Geneva Classics 2026,confirmé
